"recipient","year","un_region","Aid_All","p4_polity2","fh_inverse_pr","fh_inverse_cl","Giniall","Corruption","Rents","Population","GDP","eu"
"Afghanistan",1991,34,18.49972468,-8,1,1,46.84820184,3.985368595,0,16.35016271,6.395312067,0
"Afghanistan",1992,34,18.56790326,0,2,2,60.51357592,3.72276895,0,16.44103936,6.0502856,0
"Afghanistan",1993,34,18.21109749,0,1,1,51.0804178,3.884184588,0,16.53518131,7.119949975,0
"Afghanistan",1994,34,17.89176137,0,1,1,40.63804931,1.731650375,0,16.61796253,4.944423659,0
"Afghanistan",1995,34,18.5631144,0,1,1,42.58897147,4.150222839,0,16.68261784,7.278733084,0
"Afghanistan",1996,34,18.64389067,-7,1,1,35.53721039,2.855288689,0,16.72869278,6.959101215,0
"Afghanistan",1997,34,19.10234134,-7,1,1,36.97298803,2.952199868,0,16.76106607,5.923302575,0
"Afghanistan",1998,34,18.98372959,-7,1,1,29.97472703,0.642255059,0,16.78576275,5.002537492,0
"Afghanistan",1999,34,19.08920246,-7,1,1,30.76964266,3.787246279,0,16.81059617,7.104603002,0
"Afghanistan",2000,34,19.1489502,-7,1,1,42.48773175,3.14438969,0,16.84057637,7.138334191,0
"Afghanistan",2001,34,20.51313669,-5,1,1,55.06963468,2.928354404,5.21829769,16.8764584,6.963809873,0
"Afghanistan",2002,34,22.22080315,6,2,2,40.83881912,1.469028291,4.805685864,16.91572924,5.446618953,0
"Afghanistan",2003,34,21.90246697,0,2,2,29.59344259,1.767530092,3.337667266,16.95604172,5.487371699,0
"Afghanistan",2004,34,21.98324394,5,3,2,38.4777654,1.475994678,1.989801649,16.9943425,5.459571153,0
"Afghanistan",2005,34,22.13850104,8,3,3,29.59579101,2.5,1.733165659,17.02880504,5.5310464,0
"Afghanistan",2006,34,22.105185,4,3,3,20.00702526,1.176994256,2.317161184,17.05932412,5.554581108,0
"Afghanistan",2007,34,22.28485767,1,3,3,29,1.8,1.86544463,17.0869501,5.655701879,0
"Afghanistan",2008,34,22.54967897,4,3,2,27.79999924,1.5,2.206538379,17.1125392,5.665589659,0
"Afghanistan",2009,34,22.56345497,3,2,2,29.18146562,1.3,1.449391596,17.13723849,5.831681362,0
"Afghanistan",2010,34,22.73025993,-8,2,2,36.33061637,1.4,2.119300373,17.16182266,5.888062155,0
"Albania",1991,39,18.25629153,1,4,4,23.09513933,5.83091025,14.4743697,14.99931841,7.099536155,0
